endTime,artistName,trackName,msPlayed
2023-05-22 21:39,Yandel,Yandel 150,253429
2023-05-22 21:42,ROSALÍA,BESO,197211
2023-05-22 21:44,Big One,Un Finde | CROSSOVER #2,30007
2023-05-22 23:12,ANTES QUE NADIE,¿SOS DE BAJO O ALTO MANTENIMIENTO EMOCIONAL?,1591604
2023-05-23 0:29,ANTES QUE NADIE,¿SOS DE BAJO O ALTO MANTENIMIENTO EMOCIONAL?,1454097
2023-05-24 22:07,Emilia,No_se_ve.mp3,203636
2023-05-24 22:10,Emilia,Jagger.mp3,155861
2023-05-24 22:13,TINI,Cupido,174369
2023-05-24 22:16,Shakira,Acróstico,170785
2023-05-24 22:19,Big One,En La Intimidad | CROSSOVER #1,165854
2023-05-24 22:21,Maria Becerra,DESAFIANDO EL DESTINO,122385
2023-05-24 22:22,Maria Becerra,DESAFIANDO EL DESTINO,70321
2023-05-24 22:24,Emilia,Underground,149471
2023-05-24 22:27,Tiago PZK,Me Enteré,182075
2023-05-24 22:30,TINI,La Triple T,167674
2023-05-24 22:34,Miranda!,Uno los Dos,215248
2023-05-24 22:37,ROSALÍA,BESO,194543
2023-05-24 22:40,Emilia,cielo en la mente,169566
2023-05-24 22:42,Sebastian Yatra,VAGABUNDO,82086
2023-05-24 22:45,Emilia,No_se_ve.mp3,203636
2023-05-24 22:45,Emilia,Jagger.mp3,10160
2023-05-24 22:48,Tiago PZK,Que Se Parezca A Ti,180140
2023-05-24 22:51,Tiago PZK,Bemaste,141548
2023-05-24 22:54,Tiago PZK,Me Enteré,169784
2023-05-24 22:56,Tiago PZK,Sex & Love,145890
2023-05-24 22:59,Tiago PZK,Sabor A Miel,171134
2023-05-24 23:03,Tiago PZK,Traductor,222857
2023-05-24 23:07,Tiago PZK,Loco,239206
2023-05-24 23:10,Tiago PZK,Me Olvidé,163404
2023-05-24 23:11,Tiago PZK,Entre Nosotros,0
2023-05-24 23:14,Jay Wheeler,Amor de Febrero,207585
2023-05-24 23:18,Jay Wheeler,Suelta,216934
2023-05-24 23:22,Jay Wheeler,La Curiosidad,219048
2023-05-24 23:22,Jay Wheeler,Eazt,40863
2023-05-25 1:35,Shakira,Acróstico,9332
2023-05-25 20:18,Shakira,Acróstico,170785
2023-05-25 20:20,Shakira,Monotonía,158804
2023-05-25 20:23,TINI,Cupido,174369
2023-05-25 20:27,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945
2023-05-25 20:30,Maria Becerra,DESAFIANDO EL DESTINO,192703
2023-05-25 20:33,Manuel Turizo,La Bachata,162637
2023-05-25 20:36,Shakira,Dia de Enero,173133
2023-05-25 20:39,ROSALÍA,BESO,194543
2023-05-25 20:42,KAROL G,TQG,197933
2023-05-25 20:45,TINI,Carne y Hueso,178309
2023-05-25 20:49,KHEA,PARA AMARTE A TI,215156
2023-05-25 20:52,Shakira,Te Felicito,172235
2023-05-25 20:56,Pablo Alborán,Amigos (con Maria Becerra),233755
2023-05-25 20:59,Aitana,La última,216101
2023-05-25 21:03,Morat,No Se Va,216752
2023-05-25 21:06,KAROL G,MIENTRAS ME CURO DEL CORA,164386
2023-05-25 21:10,Shakira,Antologia,254240
2023-05-25 21:12,Yami Safdie,De Nada,136951
2023-05-25 21:15,BM,M.A - Remix,6506
2023-05-25 21:15,Ozuna,Hey Mor,196600
2023-05-25 21:16,Miranda!,Uno los Dos,44683
2023-05-25 21:19,BM,M.A - Remix,131010
2023-05-25 23:07,Lady Gaga,I'll Never Love Again - Film Version,281066
2023-05-25 23:11,Lady Gaga,Always Remember Us This Way,210200
2023-05-25 23:14,Miley Cyrus,Angels Like You,196453
2023-05-25 23:17,Sofia Carson,I Didn't Know,183473
2023-05-25 23:21,Aitana,Con La Miel En Los Labios,202446
2023-05-25 23:24,Selena Gomez,Lose You To Love Me,206458
2023-05-25 23:28,Lady Gaga,Hold My Hand,225280
2023-05-25 23:31,Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,196520
2023-05-25 23:36,Adele,Love In The Dark,285935
2023-05-25 23:40,Harry Styles,Falling,240133
2023-05-25 23:43,Lewis Capaldi,Forever,210863
2023-05-25 23:47,Lady Gaga,Shallow,215733
2023-05-25 23:50,Sebastian Yatra,My Only One (No Hay Nadie Más),198280
2023-05-25 23:54,Camila Cabello,First Man,228758
2023-05-25 23:58,Adele,Easy On Me,224694
2023-05-26 0:02,Little Mix,"Secret Love Song, Pt. II",255742
2023-05-26 0:05,Tiago PZK,Me Enteré,182075
2023-05-26 0:09,Tiago PZK,Nos Comemos (feat. Ozuna),191086
2023-05-26 0:11,Nicki Nicole,Dame,21223
2023-05-26 0:11,Tiago PZK,So Bad,119333
2023-05-26 0:14,Tiago PZK,Entre Nosotros,192352
