endTime,artistName2,trackName,msPlayed
2023-02-28 22:30,Lauty Gram,Vida Gangster,259640

2023-02-28 22:33,Duki,Esto Recién Empieza,172352

2023-02-28 22:36,Emilia,como si no importara,173052

2023-02-28 22:39,Levis Remix,Convencete Cuerpo en Venta (Mirandote Estar Solo),206068

2023-02-28 22:42,Cazzu,Maléfica,183413

2023-02-28 22:45,TINI,Fresa,165646

2023-02-28 22:48,TINI,El Último Beso,197647

2023-02-28 22:51,Maria Becerra,Mi Debilidad,165957

2023-02-28 22:53,TINI,La Triple T,167674

2023-02-28 22:56,Duki,Unfollow,196727

2023-02-28 23:00,Lali,N5,154867

2023-02-28 23:03,TINI,Miénteme,165275

2023-02-28 23:05,Emilia,De Enero a Diciembre,157235

2023-02-28 23:08,Ozuna,Hey Mor,196600

2023-02-28 23:11,Duki,Goteo,164456

2023-02-28 23:19,Rauw Alejandro,Sexo Virtual,208291

2023-02-28 23:22,Maria Becerra,OJALÁ,160482

2023-02-28 23:25,Quevedo,VISTA AL MAR,180672

2023-02-28 23:29,MYA,2:50 Remix,231708

2023-02-28 23:31,TINI,Fantasi,158080

2023-02-28 23:32,Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51",36345

2023-03-01 02:06,Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51",151407

2023-03-01 02:09,Rei,Tu Turrito,164701

2023-03-01 02:11,TINI,Bar,160212

2023-03-01 02:15,Cris Mj,Marisola - Remix,237473

2023-03-01 02:17,TINI,Duele (feat. John C),1514

2023-03-01 02:17,Anitta,Envolver,102429

2023-03-01 02:17,Duki,Malbec,1941

2023-03-01 02:21,Rauw Alejandro,Desesperados,224996

2023-03-01 02:25,Bad Bunny,Moscow Mule,245939

2023-03-01 02:31,Bad Bunny,Yonaguni,206710

2023-03-01 02:35,KHEA,Te Necesito,197960

2023-03-01 02:37,La Joaqui,Mañosa,157677

2023-03-01 02:40,La Joaqui,Dos Besitos,149083

2023-03-01 02:42,Maria Becerra,LA NENA DE ARGENTINA,151988

2023-03-01 02:44,Big One,En La Intimidad | CROSSOVER #1,77964

2023-03-01 02:46,Maria Becerra,LA NENA DE ARGENTINA,151988

